id,dias,status,v41,cats,imagem,chars,temporalidade,titulo
267365,0,draft,sim,redacao,nao,3487,TEMPORAL,"MPE libera chapéu de Lula na foto da urna de 2026"
267361,0,draft,sim,redacao,nao,2720,TEMPORAL,"Ataque israelense mata um palestino perto de campo em Gaza"
267357,0,draft,sim,redacao,nao,2059,medio,"MBRF impulsiona carteira da Terra apesar da queda de Iguatemi"
267201,0,draft,,economia,sim,3826,duravel,"Carney anuncia tarifa dólar por dólar contra os EUA a partir de 8 de setembro"
267350,0,draft,sim,redacao,nao,3828,TEMPORAL,"Irã ameaça retaliar guerra econômica de Trump no Golfo"
267345,0,draft,sim,redacao,nao,4083,TEMPORAL,"Sem Lula, Flávio e Zema, debate da Band terá só três candidatos"
267322,0,draft,,geopolitica,sim,4753,duravel,"Irã ameaça barrar petróleo se Estados Unidos ampliarem guerra econômica"
267235,0,draft,,geopolitica,sim,1197,TEMPORAL,"Irã ameaça atacar outras rotas de petróleo no Golfo Pérsico"
267228,0,draft,,geopolitica,sim,3246,duravel,"Irã ameaça retaliar vizinhos que aderirem a boicote econômico dos EUA"
267225,0,draft,,geopolitica,sim,1641,duravel,"Irã ameaça tratar vizinhos que apoiarem sanções como inimigos"
267067,0,draft,,geopolitica,sim,2786,duravel,"Trump diz que Irã não aceita acordo exigido pelos Estados Unidos"
267245,0,draft,,politica-2,sim,1800,TEMPORAL,"Debate da Band reúne quatro candidatos sem Lula nem Flávio Bolsonaro"
267339,0,draft,sim,redacao,nao,6426,duravel,"Lindberg expõe eugenia por trás do kidmaxxing dos ultrarricos"
267272,0,draft,,esporte,sim,1925,medio,"Newcastle recebe Liverpool na abertura da Premier League"
267334,0,draft,sim,redacao,nao,5641,medio,"Déficit primário previsto sobe para R$ 59,1 bilhões em 2026"
267332,0,draft,sim,redacao,nao,4059,TEMPORAL,"Band fará debate sem Lula, Flávio Bolsonaro e Zema"
267330,0,pending,,politica-2,sim,3714,TEMPORAL,"Romeu Zema deixa debate da Band com três candidatos"
267328,0,draft,sim,redacao,nao,4772,TEMPORAL,"Brasileira vira astronauta em blockbuster chinês após aprender mandarim"
267323,0,draft,sim,redacao,nao,3955,TEMPORAL,"Quaest concentra 22 de 28 pesquisas eleitorais da semana"
267314,0,draft,sim,redacao,nao,4995,duravel,"Czarzasty põe barreira histórica à entrada da Ucrânia na UE"
267310,0,draft,sim,redacao,nao,4123,duravel,"Lula diz que Lulinha deve provar inocência e pagar se errou"
267303,0,draft,sim,redacao,nao,4785,medio,"Irã executa Majid Adineh por protestos de janeiro"
267291,0,draft,sim,redacao,nao,4148,duravel,"Kremlin projeta encontro entre Putin e Trump na APEC da China"
267284,0,draft,sim,redacao,nao,3372,duravel,"Governo infla reforma agrária ao somar regularização a assentamento"
267280,0,draft,sim,redacao,nao,5265,duravel,"Militares veem Netanyahu usando guerra para adiar eleição em Israel"
267254,0,pending,,politica-2,sim,1830,duravel,"Governo Lula projeta 266 mil famílias na reforma agrária até o fim do mandato"
267247,0,pending,,geopolitica,sim,1128,duravel,"Kremlin diz que Putin e Trump devem se encontrar se forem à Apec na China"
267263,0,draft,sim,redacao,nao,5554,duravel,"Rezaei diz que EUA miraram petróleo iraniano e travaram navios"
267262,0,draft,sim,redacao,nao,7054,duravel,"People’s Daily quer tirar termos ingleses da IA na China"
267261,0,draft,sim,redacao,nao,4543,medio,"Dívida dos EUA passa de US$ 40 tri e pressiona crédito"
267258,0,draft,sim,redacao,nao,4827,medio,"Irã ameaça rotas de petróleo além de Ormuz"
267256,0,draft,sim,redacao,nao,6630,duravel,"General chinês usa Jiang para cobrar lealdade no Exército"
267252,0,draft,sim,redacao,nao,1739,duravel,"China cria primeiro sistema programável de imunidade vegetal"
267250,0,draft,sim,redacao,nao,1616,medio,"Flávio Bolsonaro fala em rever E32 e setor do agro reage"
267246,0,draft,sim,redacao,nao,3138,duravel,"Flávio Bolsonaro cobra candidatos ao Senado para anistiar o pai"
267238,1,draft,sim,redacao,nao,1582,medio,"Evento de Tarcísio esconde Flávio Bolsonaro na divulgação"
267232,1,draft,sim,redacao,nao,4317,medio,"Jornal militar chinês apaga treino com dólar e moeda taiwanesa"
267229,1,draft,sim,redacao,nao,1965,medio,"Dólar sobe a R$ 5,19 e devolve queda da véspera"
267227,1,draft,sim,redacao,nao,2112,medio,"Lula compara custo de preso a aluno e defende escola integral no Rio"
267214,1,pending,,geopolitica,sim,1858,duravel,"China cria primeiro sistema sob medida de imunidade vegetal contra patógenos"
267208,1,draft,sim,redacao,nao,5924,duravel,"Ex-comandante da FAB diz que avisou Bolsonaro que a carga cairia nos militares"
267203,1,pending,,geopolitica,sim,3325,medio,"Lula diz que sugeriu a Trump um encontro com Xi Jinping e Putin"
267181,1,pending,,geopolitica,sim,1250,duravel,"Elétricos chineses barateiam acesso a tecnologia na África"
267182,1,draft,sim,redacao,nao,5607,medio,"Lula promete Ministério da Segurança só depois que o Senado votar a PEC"
267116,1,draft,sim,redacao,nao,3622,TEMPORAL,"Datafolha mostra Paes com 51% dos votos válidos no Rio"
267165,1,draft,sim,redacao,nao,8134,duravel,"Brasil amplia IA com China e expõe teste para o Serpro"
267153,1,draft,sim,redacao,nao,5568,duravel,"Bitcoin vai a US$ 77 mil após recompra de títulos dos EUA"
267138,1,draft,sim,redacao,nao,8428,duravel,"Brasil põe R$ 1,276 bi em IA com Huawei e iFlytek"
267129,1,draft,sim,redacao,nao,6993,duravel,"Brasil amplia IA com China e põe Serpro no centro da nuvem soberana"
267130,1,draft,sim,redacao,nao,5058,medio,"Menon vê eleição brasileira na mira de Trump após ligação com Lula"
267152,1,draft,sim,nordeste|pernambuco|redacao|regional,nao,6404,medio,"Raquel descola disputa de Lula e acirra corrida em Pernambuco"
267132,1,draft,sim,redacao,nao,8112,duravel,"Brasil põe Serpro no centro da Nuvem Brasileira"
267029,1,draft,,alagoas|nordeste,sim,4054,duravel,"Renan Santos defende zonas econômicas especiais no Nordeste"
267106,1,draft,,politica-2,sim,6020,TEMPORAL,"Datafolha preserva vantagem apertada de Lula sobre Flávio"
266978,2,draft,,alagoas|ceara|nordeste|redacao|regional,sim,2215,medio,"João Henrique Caldas declara R$ 200 mil do sogro em Alagoas"
266967,2,pending,,geopolitica,sim,3562,medio,"Emirados suspendem transações com Irã após alerta de mísseis"
266949,2,pending,,geopolitica,sim,4874,medio,"Trump prepara nova ofensiva econômica contra o Irã"
266797,3,pending,,geopolitica,sim,3383,TEMPORAL,"Tráfego no estreito de Ormuz cai a quase zero após ataques"
266781,3,pending,,geopolitica,sim,3877,duravel,"Trump ameaça bombardear Omã por negociações sobre Ormuz"
266771,3,pending,,geopolitica,sim,4066,medio,"Trump chama Ormuz de novo território dos Estados Unidos"
266628,4,draft,,geopolitica,sim,2759,duravel,"China recupera foguete em terra pela primeira vez"
266579,4,draft,,geopolitica,sim,2523,duravel,"Países do BRICS rejeitam taxa de carbono da União Europeia"
266578,4,draft,,geopolitica,sim,2197,duravel,"Trump nega negociações em andamento com o Irã"
266201,5,draft,,politica-2,sim,2067,duravel,"Lula atrai multidão em São Bernardo na largada da campanha presidencial"
266549,5,draft,,geopolitica,sim,2083,medio,"EUA suspendem conversas com o Irã e apostam em bloqueio prolongado"
266179,5,draft,,politica-2,sim,1731,duravel,"Lula lança campanha de reeleição com foco em soberania e segurança no ABC"
266327,5,draft,,geopolitica,sim,2533,duravel,"China e Rússia transformam Rota do Ártico em alternativa ao Canal de Suez"
266459,5,draft,,politica-2,sim,1985,medio,"Inelegível, Marçal mantém atos de campanha até TSE barrar candidatura"
266461,5,draft,,geopolitica,sim,1952,duravel,"China inaugura rota comercial pelo Ártico diante de crise no Oriente Médio"
266398,5,draft,,geopolitica,sim,2889,duravel,"Prazo de negociação entre Estados Unidos e Irã expira sem acordo final"
266388,5,draft,,geopolitica,sim,1599,duravel,"Trump ameaça bombardear Omã enquanto Irã negocia navegação em Ormuz"
266437,5,pending,,politica-2,sim,2834,duravel,"Trump nomeia crítico do STF para chefiar relações com a América Latina"
266427,6,pending,,geopolitica,sim,2261,duravel,"Trump descarta novo acordo diplomático e exige rendição do Irã"
266286,6,pending,,geopolitica,sim,2276,duravel,"Irã sinaliza postura ofensiva após fim do acordo com EUA no Estreito de Ormuz"
266267,6,pending,,geopolitica,sim,1916,TEMPORAL,"Irã ameaça ataque e escalada se EUA descumprirem acordo em semanas"
266261,6,pending,,geopolitica,sim,1818,duravel,"Guarda Revolucionária do Irã rejeita diálogo secreto com os Estados Unidos"
266112,7,pending,,geopolitica,sim,4565,duravel,"Qatar nega deter três pilotos iranianos de bombardeiros"
266103,7,pending,,geopolitica,sim,4132,TEMPORAL,"Irã promete manter pressão até derrota de Estados Unidos e Israel"
266186,7,pending,,geopolitica,sim,1540,medio,"Exército do Irã afirma que ameaça externa é ineficaz contra defesa do país"
266157,7,pending,,geopolitica,sim,1815,TEMPORAL,"Irã veda presença militar dos Estados Unidos no Golfo Pérsico e em Ormuz"
266156,7,pending,,politica-2,sim,1838,medio,"Lula lança campanha à reeleição com ato em São Bernardo do Campo"
266042,7,pending,,geopolitica,sim,3497,duravel,"Enviado dos Estados Unidos chama colonos israelenses de terroristas"
266136,7,pending,,geopolitica,sim,1784,medio,"Irã impõe cobrança de pedágio no Estreito de Ormuz aos Estados Unidos"
266131,7,pending,,politica-2,sim,2000,medio,"Lula lança campanha à reeleição no Estádio Primeiro de Maio em São Bernardo"
266129,7,pending,,geopolitica,sim,2224,medio,"Irã afirma que bases dos EUA na região não recuperarão status anterior"
266031,7,pending,,politica-2,sim,4622,medio,"Flávio Bolsonaro lança campanha em Copacabana"
266029,7,draft,,politica-2,sim,7412,medio,"Lula abre campanha no estádio que projetou sua liderança sindical"
266119,7,pending,,politica-2,sim,2916,duravel,"Campanha presidencial começa nos redutos de Lula e Flávio Bolsonaro"
266108,7,pending,,ciencia|inteligencia-artificial|tecnologia,sim,2427,duravel,"Partido Comunista Chinês usa legado de Jiang Zemin para consolidar Xi"
266105,7,pending,,politica-2,sim,3002,medio,"Lula abre campanha em São Bernardo do Campo"
266095,7,pending,,geopolitica,sim,3443,duravel,"Usina solar de perovskita da China supera sistema de silício"
266094,7,pending,,politica-2,sim,4191,medio,"Lula volta à Vila Euclides para abrir campanha no berço sindical"
266077,7,pending,,geopolitica,sim,6738,medio,"Tráfego de petroleiros volta a travar no estreito de Hormuz"
266076,7,pending,,politica-2,sim,3142,TEMPORAL,"Ataques bolsonaristas a vacinas geram reação pró-imunização"
266074,7,pending,,norte|para-estado,sim,3300,duravel,"Tribunal de Contas do Pará envia lista de 336 gestores à Justiça Eleitoral"
266060,8,pending,,geopolitica,sim,2845,medio,"Irã condena bombardeios de Israel no sul do Líbano"
266041,8,pending,,politica-2,sim,7182,medio,"Tribunal Superior Eleitoral aperta regra para big techs na campanha"
266023,8,pending,,geopolitica,sim,5378,medio,"Irã rejeita ameaça de Trump sobre Estreito de Hormuz"
266013,8,pending,,geopolitica,sim,3885,duravel,"Famílias deslocadas em Gaza enfrentam calor em tendas precárias"
266001,8,pending,,politica-2,sim,6486,medio,"Promessas para saúde esbarram no orçamento de 2026"
265996,8,pending,,nordeste|rio-grande-do-norte,sim,7381,medio,"Campanha de rua testa empate no Governo do Rio Grande do Norte"
265981,8,pending,,politica-2,sim,4681,medio,"Rosa Amorim defende presença do MST no Congresso"
265846,8,pending,,nordeste|pernambuco,sim,3213,duravel,"Jeremias do Banco não declara bens à Justiça Eleitoral"
265832,9,pending,,parana|sul,sim,1001,medio,"Bombeiros resgatam cachorro preso em muro ao tentar comer pudim no Paraná"
265808,9,draft,,politica-2,sim,2641,medio,"Tribunais de contas mantêm penduricalhos fora do cerco do STF"
265820,9,pending,,ciencia|inteligencia-artificial|tecnologia,sim,2309,duravel,"Adoção de inteligência artificial pode somar R$ 1 trilhão ao PIB brasileiro"
265809,9,pending,,ceara|nordeste,sim,1968,medio,"Cid Gomes tem 26% e Capitão Wagner registra 22% para o Senado no Ceará"
